id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,ethnicity
CA-2013-0000143,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,M,49+,,Hispanic,Hispanic,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000144,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,F,25-32,,Hispanic,Hispanic,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000145,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,M,33-39,,Hispanic,Hispanic,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000146,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,F,25-32,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000147,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,M,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000148,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,M,40-48,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000149,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,F,25-32,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000150,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,F,25-32,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000151,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,0-14,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000152,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,33-39,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000153,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,0-14,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000154,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,15-25,,Black,Black,Mechanical or Nonmoving Violation (VC),Equipment,TRUE,Vehicle Inventory,Inventory,,CHP 215,FALSE,B
CA-2013-0000155,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000156,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000157,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000158,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000159,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000160,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000161,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,0-14,,Other Asian,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,A
CA-2013-0000162,CA,01/01/2013,,San Diego,San Diego County,6073,,,F,40-48,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000163,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,40-48,,Other Asian,Asian,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,A
CA-2013-0000164,CA,01/01/2013,,San Diego,San Diego County,6073,,,M,15-25,,Hispanic,Hispanic,Mechanical or Nonmoving Violation (VC),Equipment,FALSE,No Search,,FALSE,CHP 215,FALSE,H
